latitude,longitude,altitude (m)
45.63040639,9.29147632,191.3
45.63042069,9.291483002,191.3
45.63043447,9.291489763,191.4
45.63045725,9.291498753,191.4
45.6304723,9.291504993,191.4
45.63048756,9.291511829,191.4
45.63049939,9.291516963,191.4
45.63051052,9.291524621,191.4
45.6305201,9.291530743,191.4
45.63053009,9.291537997,191.4
45.63053805,9.291544557,191.4
45.6305452,9.291551531,191.4
45.63055299,9.291559726,191.4
45.6305615,9.291570022,191.4
45.6305695,9.29158107,191.3
45.630578,9.291593657,191.3
45.63058483,9.291607807,191.3
45.63059317,9.291623319,191.3
45.63060025,9.29164491,191.2
45.63060572,9.291665303,191.2
45.63060841,9.291683502,191.2
45.63061151,9.291700114,191.2
45.63061309,9.291717953,191.2
45.63061567,9.291738974,191.2
45.63061864,9.291761567,191.2
45.63062436,9.291779696,191.1
45.63062673,9.291797518,191.1
45.63062948,9.291817072,191.1
45.63063179,9.291836614,191.1
45.63063357,9.291853122,191.1
45.63063617,9.29187126,191.1
45.63063755,9.291881893,191.1
45.63063894,9.291895556,191.1
45.6306408,9.29190922,191
45.63064173,9.29192441,191
45.63064451,9.291939462,191
45.63064546,9.291955262,191
45.63064793,9.291974951,191
45.63065193,9.291992251,191
45.63065414,9.292018094,191
45.6306618,9.292083975,191
45.63067106,9.292135792,191
45.63067964,9.292186423,191
45.63068466,9.292229724,191
45.63069386,9.292278319,190.9
45.63069869,9.292317606,190.8
45.63070749,9.292358402,190.8
45.63071399,9.292397021,190.7
45.63072509,9.292464041,190.7
45.63073381,9.292512924,190.6
45.63074412,9.292561388,190.7
45.63075434,9.292625981,190.7
45.63076386,9.292667578,190.8
45.63077313,9.29272596,190.8
45.63078459,9.292780908,190.8
45.63081463,9.292902708,190.5
45.63083593,9.292984011,190.3
45.63086034,9.293076838,190
45.63087635,9.293160963,190
45.63089445,9.293228534,190
45.63090734,9.293291341,190
45.63092352,9.293362655,190
45.63095566,9.293495389,190
45.63098072,9.293603322,190
45.63100826,9.293712727,190
45.63103749,9.293844447,190
45.63106898,9.293964816,190
45.63109548,9.29409028,190
45.63111426,9.294171293,190
45.63113834,9.294272267,190
45.63116307,9.294373358,190
45.63118222,9.29445979,190
45.63120056,9.294542105,190
45.63122009,9.294627394,190
45.63123701,9.29470234,190
45.63125202,9.294760779,189.9
45.63126499,9.29481516,189.9
45.63127882,9.294878784,189.8
45.63128555,9.294914698,189.7
45.63129542,9.294954313,189.7
45.63130646,9.294997852,189.7
45.63131993,9.295048792,189.8
45.63133025,9.295095072,189.8
45.6313426,9.295151418,189.8
45.63135475,9.295203501,189.9
45.63136408,9.295248101,189.9
45.63137535,9.29530288,190
45.63138682,9.29535556,190
45.63139793,9.295413041,190
45.63140853,9.295481553,190
45.63141491,9.295544645,190
45.63141754,9.295607763,190
45.631418,9.295676885,190
45.63141343,9.295741604,189.9
45.63140905,9.295787674,189.9
45.63140474,9.295822145,189.9
45.6313988,9.295861269,190
45.63138997,9.295912035,190
45.63138052,9.2959534,190
45.63137105,9.295990576,189.9
45.63135872,9.296028713,189.9
45.63135147,9.29606015,189.9
45.63134199,9.296087743,189.8
45.63133117,9.296116799,189.8
45.63132164,9.296142716,189.8
45.63131098,9.29616651,189.7
45.63129517,9.296197811,189.7
45.63127638,9.296235742,189.6
45.63126082,9.296268468,189.5
45.63124653,9.296289496,189.5
45.63122334,9.296325587,189.4
45.63120378,9.296354563,189.3
45.6311818,9.296383899,189.3
45.63116309,9.296408155,189.2
45.63114002,9.296435949,189.1
45.63111818,9.296457838,189
45.63109936,9.296481174,189
45.63107229,9.296503603,188.9
45.63104653,9.296525286,188.9
45.63102082,9.296544458,188.8
45.6309973,9.296562341,188.7
45.63096921,9.296579337,188.7
45.63094625,9.296592338,188.6
45.63092142,9.29660338,188.5
45.63090355,9.296611233,188.4
45.63088504,9.296618433,188.3
45.63086793,9.29662638,188.3
45.63085422,9.29663399,188.2
45.63083999,9.296642059,188.1
45.63082232,9.296648885,188.1
