type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.567618409	2.257619091	117.6			
T	41.567623258	2.257611046	117.6			
T	41.567628814	2.257602837	117.6			
T	41.567633673	2.257595438	117.6			
T	41.567638918	2.257588691	117.7			
T	41.567644842	2.257580538	117.7			
T	41.567651510	2.257571537	117.7			
T	41.567656401	2.257561249	117.7			
T	41.567661231	2.257552353	117.7			
T	41.567667936	2.257541614	117.7			
T	41.567671782	2.257526777	117.7			
T	41.567678468	2.257514257	117.7			
T	41.567684428	2.257498362	117.7			
T	41.567694008	2.257473631	117.9			
T	41.567708489	2.257448364	118.0			
T	41.567719902	2.257421794	118.2			
T	41.567734171	2.257392272	118.4			
T	41.567742908	2.257368012	118.5			
T	41.567757155	2.257335931	118.6			
T	41.567768469	2.257312246	118.7			
T	41.567780769	2.257285743	118.8			
T	41.567793623	2.257258151	118.9			
T	41.567804857	2.257234653	119.1			
T	41.567816549	2.257214979	119.2			
T	41.567829767	2.257192228	119.5			
T	41.567840894	2.257172639	119.7			
T	41.567850377	2.257155799	119.9			
T	41.567859991	2.257134848	120.1			
T	41.567873456	2.257115537	120.4			
T	41.567883739	2.257097778	120.6			
T	41.567901269	2.257074825	120.8			
T	41.567917174	2.257052115	121.0			
T	41.567928551	2.257036746	121.2			
T	41.567944282	2.257022085	121.3			
T	41.567955696	2.257003103	121.5			
T	41.567970266	2.256985461	121.7			
T	41.567987497	2.256967098	121.8			
