type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.625339506	9.290086772	186.8			
T	45.625277555	9.289988543	187.0			
T	45.625213768	9.289877039	186.5			
T	45.625141832	9.289763949	185.9			
T	45.625089489	9.289680986	185.7			
T	45.625029763	9.289582789	186.2			
T	45.624974426	9.289492062	187.0			
T	45.624934010	9.289426118	186.9			
T	45.624913228	9.289392603	186.7			
T	45.624722772	9.289085048	187.3			
T	45.624669347	9.288991926	186.7			
T	45.624625491	9.288921538	185.9			
T	45.624553468	9.288803475	185.2			
T	45.624495279	9.288710302	185.6			
T	45.624446823	9.288629355	186.7			
T	45.624385829	9.288531040	186.3			
T	45.624333041	9.288448129	186.1			
T	45.624209690	9.288240967	186.4			
T	45.624156661	9.288158054	186.6			
T	45.623994334	9.287894322	185.9			
T	45.623876676	9.287702413	186.2			
T	45.623788824	9.287559495	186.4			
T	45.623699882	9.287411209	186.5			
T	45.623648309	9.287332367	186.7			
T	45.623542937	9.287153815	186.6			
T	45.623481021	9.287058493	186.3			
T	45.623421714	9.286961424	186.3			
T	45.623371001	9.286878875	186.1			
T	45.623330648	9.286809802	186.0			
T	45.623292479	9.286745200	185.9			
T	45.623256457	9.286690903	185.7			
T	45.623197432	9.286586762	185.7			
T	45.623149113	9.286509163	185.7			
T	45.623121934	9.286460837	185.8			
T	45.623101025	9.286426063	185.9			
T	45.623081523	9.286395018	186.0			
T	45.623067372	9.286374840	186.0			
T	45.623051485	9.286346258	186.0			
T	45.623034122	9.286320076	185.9			
T	45.623018822	9.286296273	185.9			
T	45.623004867	9.286273505	185.9			
T	45.622991913	9.286250079	185.9			
T	45.622979202	9.286231994	185.9			
T	45.622970071	9.286215880	185.9			
T	45.622961842	9.286199661	185.9			
T	45.622953243	9.286183556	185.9			
T	45.622944773	9.286170033	185.9			
T	45.622929612	9.286147085	185.9			
T	45.622916059	9.286122588	186.0			
T	45.622898808	9.286098861	186.0			
T	45.622887430	9.286081153	186.0			
T	45.622877817	9.286066022	186.0			
T	45.622868345	9.286051702	186.0			
T	45.622859203	9.286037081	186.0			
T	45.622849555	9.286021889	186.0			
T	45.622837988	9.286003804	186.0			
T	45.622826945	9.285984309	186.0			
T	45.622810608	9.285959981	186.0			
T	45.622796722	9.285939335	186.0			
T	45.622782524	9.285919109	186.0			
T	45.622769673	9.285905883	186.0			
T	45.622761644	9.285893029	186.0			
T	45.622749156	9.285880783	186.0			
T	45.622739369	9.285869930	186.0			
T	45.622728931	9.285862893	186.0			
T	45.622719130	9.285852838	186.0			
T	45.622708184	9.285844125	186.0			
T	45.622694794	9.285837958	186.0			
T	45.622681328	9.285830551	186.0			
T	45.622667749	9.285825997	186.0			
T	45.622651070	9.285821976	186.0			
T	45.622632173	9.285818662	186.0			
T	45.622616471	9.285817335	186.0			
T	45.622599886	9.285816964	186.0			
T	45.622581044	9.285817283	186.0			
T	45.622565449	9.285818496	186.0			
T	45.622553218	9.285819113	186.0			
T	45.622540238	9.285821354	186.0			
T	45.622529775	9.285820794	186.0			
T	45.622514967	9.285822369	186.0			
T	45.622498827	9.285823439	186.0			
T	45.622480003	9.285825488	185.9			
T	45.622463346	9.285828897	185.9			
T	45.622447289	9.285830549	185.8			
T	45.622433812	9.285830816	185.8			
T	45.622421761	9.285829485	185.7			
T	45.622410854	9.285829698	185.7			
T	45.622396402	9.285832252	185.6			
T	45.622383498	9.285834769	185.6			
T	45.622364842	9.285839757	185.5			
T	45.622344032	9.285844394	185.4			
T	45.622327062	9.285847615	185.4			
T	45.622308043	9.285850788	185.3			
T	45.622290911	9.285854199	185.2			
T	45.622272448	9.285857042	185.2			
T	45.622256158	9.285859648	185.1			
T	45.622239125	9.285861739	185.1			
T	45.622220667	9.285862983	185.0			
T	45.622201392	9.285864892	185.0			
T	45.622183902	9.285865226	185.0			
T	45.622168706	9.285865865	185.0			
T	45.622154959	9.285865131	185.0			
T	45.622141651	9.285865706	185.0			
T	45.622123669	9.285865392	185.0			
T	45.622105397	9.285864008	185.0			
