type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.630197290	9.290833620	191.0			
T	45.630197348	9.290866363	191.0			
T	45.630198346	9.290897263	191.0			
T	45.630199265	9.290925802	191.0			
T	45.630201215	9.290955071	191.0			
T	45.630203783	9.290984427	191.0			
T	45.630201878	9.291007691	191.0			
T	45.630204617	9.291034730	191.0			
T	45.630204706	9.291057856	191.0			
T	45.630204707	9.291076858	191.0			
T	45.630204726	9.291101644	191.0			
T	45.630206743	9.291123238	191.0			
T	45.630208774	9.291141617	191.0			
T	45.630208185	9.291159840	191.0			
T	45.630209383	9.291174467	191.0			
T	45.630209555	9.291189894	191.0			
T	45.630209545	9.291205810	191.0			
T	45.630209991	9.291220625	191.0			
T	45.630210883	9.291236795	191.0			
T	45.630210835	9.291255179	191.0			
T	45.630212476	9.291269304	191.0			
T	45.630214059	9.291283826	191.0			
T	45.630215032	9.291297755	191.0			
T	45.630217205	9.291315416	191.0			
T	45.630219651	9.291332305	191.0			
T	45.630222420	9.291346357	191.0			
T	45.630227727	9.291359864	191.0			
T	45.630232813	9.291372342	191.0			
T	45.630239496	9.291382031	191.0			
T	45.630249174	9.291395740	191.0			
T	45.630262722	9.291406456	191.0			
T	45.630277296	9.291416860	191.0			
T	45.630291664	9.291425888	191.0			
T	45.630310002	9.291433125	191.1			
T	45.630326261	9.291440297	191.1			
T	45.630338554	9.291444933	191.2			
T	45.630351608	9.291450598	191.2			
T	45.630364294	9.291456044	191.2			
T	45.630377678	9.291462249	191.3			
T	45.630391823	9.291468821	191.3			
T	45.630406393	9.291476320	191.3			
T	45.630420686	9.291483002	191.3			
T	45.630434474	9.291489763	191.4			
T	45.630457253	9.291498753	191.4			
T	45.630472303	9.291504993	191.4			
T	45.630487558	9.291511829	191.4			
T	45.630499393	9.291516963	191.4			
T	45.630510524	9.291524621	191.4			
T	45.630520103	9.291530743	191.4			
T	45.630530091	9.291537997	191.4			
T	45.630538053	9.291544557	191.4			
T	45.630545196	9.291551531	191.4			
T	45.630552992	9.291559726	191.4			
T	45.630561500	9.291570022	191.4			
T	45.630569499	9.291581070	191.3			
T	45.630577996	9.291593657	191.3			
T	45.630584828	9.291607807	191.3			
T	45.630593174	9.291623319	191.3			
T	45.630600250	9.291644910	191.2			
T	45.630605717	9.291665303	191.2			
T	45.630608414	9.291683502	191.2			
T	45.630611511	9.291700114	191.2			
T	45.630613086	9.291717953	191.2			
T	45.630615672	9.291738974	191.2			
T	45.630618638	9.291761567	191.2			
T	45.630624364	9.291779696	191.1			
T	45.630626727	9.291797518	191.1			
T	45.630629478	9.291817072	191.1			
T	45.630631790	9.291836614	191.1			
T	45.630633566	9.291853122	191.1			
T	45.630636168	9.291871260	191.1			
T	45.630637548	9.291881893	191.1			
T	45.630638936	9.291895556	191.1			
T	45.630640799	9.291909220	191.0			
T	45.630641725	9.291924410	191.0			
T	45.630644513	9.291939462	191.0			
T	45.630645460	9.291955262	191.0			
T	45.630647934	9.291974951	191.0			
T	45.630651932	9.291992251	191.0			
